"","WT.RT.1","WT.RT.2","WT.RT.3","KO.RT.1","KO.RT.2","KO.RT.3","WT.COLD.1","WT.COLD.2","WT.COLD.3","KO.COLD.1","KO.COLD.2","KO.COLD.3"
"Gm11734",2.52456994317735,2.2033128251687,1.86664373653368,3.75474127553369,3.97340624844449,3.19270987912145,1.6299899527605,2.42653801333951,2.24816429222503,2.79110505027583,3.80569486766677,2.91806454625048
"Gm16984",4.42127007397478,5.04334084318764,4.60357616225823,3.88000191129043,3.7026123306957,3.85058404620767,4.07414969057438,4.58864063358861,4.21820174548172,2.94312820286274,3.13150544135885,2.85987962051005
"Pld4",5.87334333669686,5.59158267593017,5.79160616988657,6.62389253567002,7.28993460335472,6.34685802245211,6.02938855827251,6.7359891457011,6.39328672339108,6.08281795488891,5.68735661290055,6.13261636574805
"Nhlrc1",4.94001700866759,4.27601012530935,4.30985709331832,3.78577941255551,4.70950354118806,4.94061667559147,6.07533286518057,5.91059980959214,6.32087016989071,4.73076850814514,5.02966482661571,5.23565619247892
"Gm13270",1.51844330064124,1.86297776799502,2.59930421772059,3.04046797085628,3.18110674559697,2.85813610690045,1.71447444499037,1.90812524734109,1.71257186309464,1.54620307672843,1.79875839458469,2.43862826350358
"Mal2",6.90232339061776,7.25469789196964,7.22479162718232,6.08103929482357,6.02069840131348,6.45358143529087,7.56825142771345,7.38601441070017,7.25940613021815,5.93618881656928,6.10496447138896,6.19729895387154
"Ppcs",3.51347291134143,2.94344779842851,2.73270826248092,2.71205517735673,3.04954216635721,3.16187472920643,5.2261239304482,4.23287785253138,4.02507162880618,2.8846275415126,3.46843246505435,3.18950332961003
"Stap2",6.55705383189565,6.6527295123912,7.01788675530036,5.48269298829257,6.01768447708843,5.84280344882809,6.75619942468671,6.86297669424121,6.49693511709025,4.89371471465983,5.82395864693255,5.70931326434197
"Ffar4",8.07205895337959,8.04493486745826,7.92022929909019,7.2065664513958,6.53795243439593,6.19717097303124,8.78852951488765,9.24514962833965,8.59828223912096,9.15298907692724,8.53073405081557,8.95096336141229
"Nod1",6.16581811660508,6.43393051536287,6.52540389875148,6.93829314412846,7.20780357505691,6.94442896579615,6.33391035739877,6.11314507964399,6.37301570485979,5.89081307619802,5.69377266578502,5.7349376374666
"Flacc1",6.78987438050326,6.96714753286074,7.27550381813891,7.61097268689232,7.74251804341467,7.71757395489655,6.74029134133087,6.95919984495684,6.9428744538038,7.38011144539073,7.81558134294485,8.56341421405874
"Iglv2",4.38814666497784,4.33884314978305,3.01233248050396,3.75770802768565,3.18151827319869,2.76545781650475,6.28368549224921,4.45596027056911,5.49072133837098,3.30522868667971,3.2123399658998,2.71905022963003
"Egln3",5.84416286919441,6.19452252700867,6.26184685576955,6.68219021031181,6.36066229054987,6.62743799765479,6.35599975922076,6.90362207923178,7.28325359830756,8.98802054915254,7.92289464274753,8.57062511143165
"Adam8",3.23775700337058,3.23209158709478,3.21953461652306,3.48512266156196,3.60665368612824,3.81416214869014,4.21843615657667,4.44059490890735,4.08622116136108,4.80125311767401,5.02005145009096,6.07695607407737
"Anxa8",6.21047304422618,6.07091589390267,6.87676844248308,4.59332703685291,4.54544672865255,4.49056115246697,5.63381454074613,6.07989019848945,4.84407632468771,2.9150032873751,3.9306674400085,3.6460438397489
"Synpo2",4.52120612675903,4.61167096050657,4.19064266856388,6.23146138914885,5.47791633450383,5.84587387123204,4.65599289461637,4.76780273387188,4.80002831273516,5.27229511418344,4.98460395524871,5.26139254246803
"C1qb",7.47765424427874,7.40129942594825,7.56966231862189,8.63601655638622,8.86336758897983,8.42849039026108,8.39222087610724,8.89334756832866,8.60237168921635,8.2874682697464,8.97512442840747,9.314059077804
"Cacna1a",4.23306876136939,4.24125249884599,3.87359437905083,5.29017754901812,5.13755943436149,5.12272274464129,4.13832191443318,4.42767842042502,4.56835322131197,5.86441817970691,5.4422935028773,5.13721132037787
"Car7",6.32453296304964,5.91054223018225,6.26928535290696,6.29561603959842,6.7519118150686,6.50876089558635,5.09008175438583,5.01068854065935,5.81203681221709,4.20450653150549,4.62351713106744,3.9504719455741
"Noct",7.69012390045902,6.95213619607977,7.30383216777615,5.95765612749058,4.72681842622091,5.77983742938074,9.52727543761061,9.34784680415847,9.37574270161143,8.58858308300463,9.1285960269425,9.34246766594954
"Cd53",6.15139191338388,6.19558811417519,6.29344973802224,7.08123983398944,7.70708183743296,7.15311592744202,6.86146489283367,7.54987134883637,7.29791359750428,7.11068187423647,7.44862462124079,8.38898266394009
"Cd72",4.38308761949359,4.09570633743995,4.33367923545652,5.13767866287654,5.7929626741304,5.18983154059565,5.12052776902423,5.22948582469156,5.14001491301832,5.24274011844541,5.21077075017754,5.80583003887116
"Cdkn1c",6.3453550156033,5.87450857390951,5.97615198154507,5.32187294238973,5.12330679320615,5.06100317517034,5.63606128612106,5.3717020925438,5.83223992304194,4.66344520973992,4.69670761364063,3.59553657949215
"Cdkn2b",3.37959622563541,3.23763346080418,3.33347300966617,3.9606317441629,3.53992138535203,4.05344907739036,2.83072093001761,2.87347041329346,3.35814995705626,3.4332050433555,4.66943094797688,4.44219669649599
"Elovl3",6.0603017691578,5.11640433697514,5.71747664322096,4.02030096417735,4.33278158298748,2.75371665863542,10.2455519300941,10.3797075239969,10.6537005435814,8.62434918618097,9.41050136577074,9.09905714099448
