"","WT.RT.1","WT.RT.2","WT.RT.3","KO.RT.1","KO.RT.2","KO.RT.3","WT.COLD.1","WT.COLD.2","WT.COLD.3","KO.COLD.1","KO.COLD.2","KO.COLD.3"
"17381511",2.68115712224717,2.29153337619309,1.99427825661812,2.19707866458156,2.09235560100307,2.59462216809195,3.25374937323527,2.80818153489382,2.94286529945775,3.50550786635624,2.61596466817642,2.72707442444606
"17240819",6.17403729214831,5.68698285721776,6.09096353399552,6.57534011334922,6.37306088605663,6.15120167582883,5.82583372377992,5.65763051576217,5.79397577078733,6.35969566986388,5.72014250554903,6.31035814525209
"17348069",3.75366869088378,3.67245526004942,3.14601757482118,2.45911832983975,4.13436489470205,3.28892345902633,4.06997705628415,2.91338110343172,4.21583577005777,2.96079314393367,3.28571638008013,2.88697693123139
"17299820",4.07011129293423,4.35057703676781,3.51966361137604,3.90982432224752,5.04968533705524,2.99213308824779,3.83505862635791,4.42604840661114,4.53583560694355,4.41988720993373,4.13507155207598,3.4793181704546
"17434023",2.82616322147917,3.13210157618214,2.82600966283369,2.84287619954279,3.61265375089684,3.00250318415551,3.27970778765813,3.51408202019719,3.3345771544471,3.40584101537698,3.44409788590475,3.36350923629435
"17425926",2.07601133045063,2.42924348021071,1.89747167028734,4.13759878324949,3.73956736531593,2.39461615348998,1.82084562586444,2.42540518895096,2.26441244303262,4.22931028995854,2.55981537987227,3.285796881899
"17277666",3.29215978134195,2.26376282874475,2.41330586809261,2.93644086664981,2.8605400215524,2.55915935570756,3.914614505559,3.59727608435683,3.24403572112984,3.43076964408806,2.55395704126652,3.22115618691981
"17404993",3.35803406803801,3.26230549480644,1.76532689885719,2.27619742579132,2.15042146822422,1.85048475587196,2.83082056128565,1.90768944252636,2.07598155449636,2.54511689216309,2.17894448181675,1.84078028610173
"17446490",2.91228312571148,1.41838656550803,2.30440891882268,2.09398789559969,1.65233241131332,1.01915749963321,1.92604328658291,1.5059104284603,1.27277192546546,2.50676318536018,2.08602103426277,1.34125525140189
"17277679",1.57755272559846,2.90465613396892,0.80059452877997,1.44248261991131,1.71229756338365,2.58358105269973,1.31269053841818,1.32287967244851,2.73032382863372,3.08316339269502,1.30523266446762,1.07466420400256
